Region,Stages,Gene_Symbol
6W only,6W,CFAP74
6W only,6W,CLIP1
6W only,6W,CLIP4
6W only,6W,CLN3
6W only,6W,CLUAP1
6W only,6W,CNTLN
6W only,6W,CRMP1
6W only,6W,CSNK1D
6W only,6W,CYLD
6W only,6W,DAW1
6W only,6W,DCTN2
6W only,6W,DCTN6
6W only,6W,DEUP1
6W only,6W,DIXDC1
6W only,6W,DLG2
6W only,6W,DNAAF1
6W only,6W,DNAAF2
6W only,6W,DNAAF3
6W only,6W,DNAAF4
6W only,6W,DNAAF5
6W only,6W,DNAH12
6W only,6W,DNAH17
6W only,6W,DNAH2
6W only,6W,DNAH6
6W only,6W,DNAH8
6W only,6W,DNAI2
6W only,6W,DNAJB13
6W only,6W,DNAL1
6W only,6W,DNAL4
6W only,6W,DNHD1
6W only,6W,DRC1
6W only,6W,DTNBP1
6W only,6W,DVL1
6W only,6W,DYNC1I1
6W only,6W,DYNC1I2
6W only,6W,DYNC1LI2
6W only,6W,DYNC2H1
6W only,6W,DYNC2LI1
6W only,6W,DYNLL2
6W only,6W,DYNLRB2
6W only,6W,DYNLT1
6W only,6W,EFHC1
6W only,6W,EFHC2
6W only,6W,EFNA5
6W only,6W,EML1
6W only,6W,EPHA3
6W only,6W,FAM187A
6W only,6W,FBXW5
6W only,6W,FER
6W only,6W,FKBP4
6W only,6W,FYCO1
6W only,6W,GABARAP
6W only,6W,GIT1
6W only,6W,GSK3B
6W only,6W,HAUS1
6W only,6W,HAUS4
6W only,6W,HDGFL3
6W only,6W,HOOK2
6W only,6W,IFT122
6W only,6W,IFT140
6W only,6W,IFT22
6W only,6W,IFT43
6W only,6W,IFT46
6W only,6W,IFT57
6W only,6W,IFT74
6W only,6W,IFT80
6W only,6W,IFT88
6W only,6W,ITGB3BP
6W only,6W,KATNAL2
6W only,6W,KATNB1
6W only,6W,KIF17
6W only,6W,KIF19
6W only,6W,KIF20B
6W only,6W,KIF21B
6W only,6W,KIF27
6W only,6W,KIF2A
6W only,6W,KIF2B
6W only,6W,KIF2C
6W only,6W,KIF3A
6W only,6W,KIF3B
6W only,6W,KIF6
6W only,6W,KIF9
6W only,6W,KIFAP3
6W only,6W,KIFC3
6W only,6W,KIZ
6W only,6W,KLC3
6W only,6W,KNSTRN
6W only,6W,LCA5
6W only,6W,LCA5L
6W only,6W,LRRC49
6W only,6W,MAP10
6W only,6W,MAP3K11
6W only,6W,MAP4
6W only,6W,MAP7D3
6W only,6W,MAPRE3
6W only,6W,MAPT
6W only,6W,MDM1
6W only,6W,MEMO1
6W only,6W,MISP
6W only,6W,MREG
6W only,6W,NDC80
6W only,6W,NEK10
6W only,6W,NTMT1
6W only,6W,NUP98
6W only,6W,PCM1
6W only,6W,PDE4DIP
6W only,6W,PEX13
6W only,6W,PLK2
6W only,6W,POC1B
6W only,6W,PPP1CC
6W only,6W,PPP2R3C
6W only,6W,PRC1
6W only,6W,PRKCZ
6W only,6W,PTPA
6W only,6W,RAN
6W only,6W,RANBP9
6W only,6W,RANGAP1
6W only,6W,RANGRF
6W only,6W,RASSF1
6W only,6W,RASSF7
6W only,6W,RCC1
6W only,6W,RFX3
6W only,6W,RNF19A
6W only,6W,RNF4
6W only,6W,RP1L1
6W only,6W,RPGR
6W only,6W,RSPH9
6W only,6W,SAXO1
6W only,6W,SAXO2
6W only,6W,SDCCAG8
6W only,6W,SIK3
6W only,6W,SLAIN2
6W only,6W,SPAG5
6W only,6W,SPAST
6W only,6W,SPATA7
6W only,6W,SPDL1
6W only,6W,SPG7
6W only,6W,SRRD
6W only,6W,SSNA1
6W only,6W,SSX2IP
6W only,6W,STK36
6W only,6W,TCTEX1D2
6W only,6W,TERF2
6W only,6W,TMEM108
6W only,6W,TNKS
6W only,6W,TOGARAM1
6W only,6W,TPPP
6W only,6W,TRAF3IP1
6W only,6W,TRIM37
6W only,6W,TRIM46
6W only,6W,TTBK2
6W only,6W,TTC21B
6W only,6W,TTC25
6W only,6W,TTC29
6W only,6W,TTL
6W only,6W,TTLL2
6W only,6W,TTLL3
6W only,6W,TTLL4
6W only,6W,TTLL5
6W only,6W,TTLL6
6W only,6W,TTLL7
6W only,6W,TUBA1C
6W only,6W,TUBA4A
6W only,6W,TUBA8
6W only,6W,TUBB1
6W only,6W,TUBB4B
6W only,6W,TUBD1
6W only,6W,ULK4
6W only,6W,VAMP4
6W only,6W,WDR35
6W only,6W,ZBBX
6W only,6W,ZMYND10
6W only,6W,ZPR1
6W only,6W,ARL13A
6W only,6W,ARL6
6W only,6W,ARMC9
6W only,6W,ATP6V1D
6W only,6W,B9D1
6W only,6W,BBIP1
6W only,6W,BBOF1
6W only,6W,BBS1
6W only,6W,BBS5
6W only,6W,BBS7
6W only,6W,BBS9
6W only,6W,CATIP
6W only,6W,CBY1
6W only,6W,CCDC113
6W only,6W,CCDC96
6W only,6W,CCNO
6W only,6W,CDKL5
6W only,6W,CEP164
6W only,6W,CEP290
6W only,6W,CEP41
6W only,6W,CEP89
6W only,6W,CFAP126
6W only,6W,CFAP410
6W only,6W,CFAP52
6W only,6W,CNGA4
6W only,6W,CNGB1
6W only,6W,EHD1
6W only,6W,ENTR1
6W only,6W,EVI5L
6W only,6W,EXOC6
6W only,6W,FAM161A
6W only,6W,FAM161B
6W only,6W,FAM92A
6W only,6W,FBF1
6W only,6W,FHDC1
6W only,6W,FUZ
6W only,6W,GBF1
6W only,6W,GMNC
6W only,6W,HSP90AA1
6W only,6W,HYLS1
6W only,6W,INPP5E
6W only,6W,INTU
6W only,6W,IQUB
6W only,6W,LZTFL1
6W only,6W,NEDD1
6W only,6W,ONECUT1
6W only,6W,PDE6D
6W only,6W,PIFO
6W only,6W,PTPDC1
6W only,6W,RAB3IP
6W only,6W,RABEP2
6W only,6W,RFX4
6W only,6W,RP2
6W only,6W,RPGRIP1L
6W only,6W,SCLT1
6W only,6W,SFI1
6W only,6W,SNAP29
6W only,6W,TBC1D32
6W only,6W,TCHP
6W only,6W,TCTN1
6W only,6W,TMEM107
6W only,6W,TMEM17
6W only,6W,TMEM231
6W only,6W,TMEM237
6W only,6W,TSGA10IP
6W only,6W,UBXN10
6W only,6W,VDAC3
6W only,6W,WDPCP
6W only,6W,WDR11
E19 ∩ 2W,E19;2W,DMC1
E19 ∩ 6W,E19;6W,ADAM2
E19 ∩ 6W,E19;6W,CFAP43
E19 ∩ 6W,E19;6W,CFAP44
E19 ∩ 6W,E19;6W,CFAP65
E19 ∩ 6W,E19;6W,DDX25
E19 ∩ 6W,E19;6W,FSIP2
E19 ∩ 6W,E19;6W,GTSF1
E19 ∩ 6W,E19;6W,MAEL
E19 ∩ 6W,E19;6W,PMFBP1
E19 ∩ 6W,E19;6W,SPA17
E19 ∩ 6W,E19;6W,DNAH7
E19 ∩ 6W,E19;6W,HYDIN
E19 ∩ 6W,E19;6W,JHY
E19 ∩ 6W,E19;6W,SPAG17
2W ∩ 6W,2W;6W,ASB1
2W ∩ 6W,2W;6W,CNTD1
2W ∩ 6W,2W;6W,DDX3Y
2W ∩ 6W,2W;6W,DKKL1
2W ∩ 6W,2W;6W,DMRTC2
2W ∩ 6W,2W;6W,HORMAD1
2W ∩ 6W,2W;6W,HSPA2
2W ∩ 6W,2W;6W,MEIOC
2W ∩ 6W,2W;6W,MNS1
2W ∩ 6W,2W;6W,MSH4
2W ∩ 6W,2W;6W,MYCBPAP
2W ∩ 6W,2W;6W,NR6A1
2W ∩ 6W,2W;6W,REC8
2W ∩ 6W,2W;6W,SERPINA5
2W ∩ 6W,2W;6W,SPATA22
2W ∩ 6W,2W;6W,SPDYA
2W ∩ 6W,2W;6W,SPO11
2W ∩ 6W,2W;6W,SYCP1
2W ∩ 6W,2W;6W,SYCP2
2W ∩ 6W,2W;6W,SYCP3
2W ∩ 6W,2W;6W,TERB1
2W ∩ 6W,2W;6W,TRIM36
2W ∩ 6W,2W;6W,TSGA10
2W ∩ 6W,2W;6W,WBP2NL
